5	Home & Kitchen	5	Home & Garden	false
6	Fashion Jewellery	6	Apparel & Accessories > Jewelry	false
7	TVs, Audio & Video	7	Electronics	false
8	Perfumes	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
9	Appliances	9	Home & Garden > Household Appliances	false
10	Collectible Toys	66	Toys & Games > Toys	false
11	Cosmetics	586	Health & Beauty > Personal Care > Cosmetics	true
12	Mobiles & Tablets	12	Electronics > Communications > Telephony	false
15	Sunglasses	473	Apparel & Accessories > Clothing Accessories > Sunglasses	false
16	Womens Handbags	474	Apparel & Accessories > Handbags, Wallets & Cases > Handbags	false
17	Men's Apparel	17	Apparel & Accessories	false
20	Hair Care	586	Health & Beauty > Personal Care > Hair Care	true
21	Computers & Peripherals	21	Electronics > Computers	false
23	Women's Apparel	23	Apparel & Accessories	false
29	Mobile Accessories	12	Electronics > Communications > Telephony > Mobile Phone Accessories	false
31	Fragrances	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
32	Bath & Body	586	Health & Beauty > Personal Care > Cosmetics > Bath & Body	true
33	Health Devices	586	Health & Beauty > Health Care	false
34	Skin Care	586	Health & Beauty > Personal Care > Cosmetics > Skin Care	true
38	Luggage	474	Luggage & Bags	false
48	Anklets, Toe-rings & More	6	Apparel & Accessories > Jewelry > Anklets	false
49	Mens Jewellery	6	Apparel & Accessories > Jewelry	false
52	Pen Drives	21	Electronics > Electronics Accessories > Memory > Flash Memory	false
53	External Hard Disks	21	Electronics > Computers > Computer Components > Storage Devices > Hard Drives	false
54	Memory Cards	21	Electronics > Electronics Accessories > Memory Accessories	false
55	Desktops	21	Electronics > Computers > Desktop Computers	false
56	Computer Components	21	Electronics > Computers > Computer Components	false
57	Laptops	21	Electronics > Computers > Laptops	false
58	Printers & Scanners	21	Electronics > Print, Copy, Scan & Fax	false
59	Software	21	Software > Computer Software	false
62	Portable Audio - Players / Docks	7	Electronics > Audio > Audio Players & Recorders	false
63	Landline Phones	7	Electronics > Communications > Telephony	false
64	Televisions	7	Electronics > Video > Televisions	false
66	Infants, Kids & Toys	66	Toys & Games	false
67	Education & Learning Toys	66	Toys & Games > Toys > Educational Toys	false
68	Indoor Games & Puzzles	66	Toys & Games > Puzzles	false
69	Baby Care	66	Baby & Toddler > Baby Health	false
71	Kids Room Decor	66	Furniture > Baby & Toddler Furniture	false
72	Outdoor Play	66	Toys & Games > Outdoor Play Equipment	false
73	Soft Toys	66	Toys & Games > Toys	false
85	Movies	516	Media > DVDs & Videos	false
88	Bar & Glassware	5	Home & Garden > Kitchen & Dining > Barware	false
89	Cookware & Bakeware	5	Home & Garden > Kitchen & Dining > Cookware & Bakeware	false
93	Hardware & Fixtures	5	Hardware	false
95	Home Cleaning	5	Home & Garden > Household Supplies > Household Cleaning Supplies	false
96	Home Decor	217	Home & Garden > D??????cor	false
107	Formal Wear	17	Apparel & Accessories > Clothing	false
108	Casual Wear	17	Apparel & Accessories > Clothing	false
109	Sports Wear	17	Apparel & Accessories > Clothing	false
110	Ethnic Wear	17	Apparel & Accessories > Clothing	false
111	Winter Wear	17	Apparel & Accessories > Clothing > Outerwear	false
112	Inner Wear	17	Apparel & Accessories > Clothing > Underwear & Socks	false
113	Night Wear	17	Apparel & Accessories > Clothing > Sleepwear & Loungewear	false
114	Formal Wear	23	Apparel & Accessories > Clothing	false
115	Casual Wear	23	Apparel & Accessories > Clothing	false
116	Sports Wear	23	Apparel & Accessories > Clothing	false
117	Ethnic Wear	23	Apparel & Accessories > Clothing	false
118	Winter Wear	23	Apparel & Accessories > Clothing > Outerwear	false
119	Inner Wear	23	Apparel & Accessories > Clothing > Underwear & Socks	false
120	Night Wear	23	Apparel & Accessories > Clothing > Sleepwear & Loungewear	false
121	Monitors	21	Electronics > Video > Computer Monitors	false
122	Perfumes	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
129	Religion & Spirituality	217	Apparel & Accessories > Jewelry > Charms & Pendants	false
132	Electronic Toys	66	Toys & Games > Toys > Electronic Toys	false
133	Tablets	12	Electronics > Computers > Tablet Computers	false
136	Deodorants	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
137	Gift sets	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
138	Air Freshners	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
140	Eyeglasses	473	Health & Beauty > Personal Care > Vision Care > Eyeglasses	false
144	Shaving & Grooming	586	Health & Beauty > Personal Care > Shaving & Grooming	true
150	Computer Accessories	21	Electronics > Computers > Computer Accessories	false
151	Mouse	21	Electronics > Computers > Computer Components > Input Devices	false
152	Keyboard	21	Electronics > Computers > Computer Components > Input Devices	false
153	Speakers	21	Electronics > Audio > Audio Components > Speakers	false
154	Headphones & Mics	21	Electronics > Audio > Audio Components > Headphones	false
157	Contact Lens	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
158	Sexual Wellness	31	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	false
159	Sports & Fitness	159	Sporting Goods	false
160	Outdoor Adventure Gear	159	Sporting Goods > Outdoor Recreation > Camping, Backpacking & Hiking	false
161	Badminton	159	Sporting Goods > Racquet Sports > Badminton	false
162	Basketball	159	Sporting Goods > Team Sports > Basketball	false
163	Cricket	159	Sporting Goods > Team Sports > Cricket	false
164	Tennis	159	Sporting Goods > Racquet Sports > Tennis	false
165	Squash	159	Sporting Goods > Racquet Sports > Squash	false
166	Golf	159	Sporting Goods > Outdoor Recreation > Golf	false
167	Football	159	Sporting Goods > Team Sports > Football	false
168	Swimming & Water Sports	159	Sporting Goods > Water Sports > Swimming	false
169	Table Tennis	159	Sporting Goods > Racquet Sports > Tennis	false
170	Other Sports	159	Sporting Goods	false
171	Fitness Equipment	159	Sporting Goods > Exercise & Fitness	false
172	Fitness Accessories	159	Sporting Goods > Exercise & Fitness	false
175	Mobile Phones	12	Electronics > Communications > Telephony > Mobile Phones	false
